material,d_true,d_hat,err,oxide_hat,oxide_true,sd_nm,n_modes
graphene,3.53664,3.68043,0.14379,284.267,285.0,0.20436,1
graphene,7.72303,8.20699,0.48396,280.755,285.0,0.17911,1
graphene,0.71838,0.7149,-0.00348,286.065,285.0,0.02999,1
graphene,2.93204,2.85851,-0.07353,285.827,285.0,0.16887,1
graphene,1.64174,1.65756,0.01581,284.876,285.0,0.07751,1
graphene,21.95832,21.728,-0.23032,284.694,285.0,0.36194,2
graphene,1.17416,1.17126,-0.0029,285.359,285.0,0.05042,1
graphene,108.25226,112.29598,4.04373,285.956,285.0,14.80825,2
graphene,6.00979,5.6271,-0.38269,287.71,285.0,0.42422,1
graphene,14.83939,14.88002,0.04063,285.429,285.0,0.20775,1
graphene,105.20138,113.33408,8.1327,285.538,285.0,15.79132,2
graphene,10.17165,10.13927,-0.03239,287.124,285.0,0.23518,1
graphene,8.93633,8.37261,-0.56371,284.921,285.0,0.31758,1
graphene,1.19537,1.1024,-0.09298,285.837,285.0,0.03857,1
graphene,1.33497,1.29022,-0.04475,285.901,285.0,0.05275,1
graphene,4.37406,4.51454,0.14048,285.552,285.0,0.36294,1
graphene,2.0931,1.89802,-0.19507,285.846,285.0,0.07584,1
graphene,6.14031,5.21123,-0.92908,287.09,285.0,0.42803,1
graphene,82.80586,73.08316,-9.7227,285.116,285.0,2.1867,2
graphene,20.55115,20.35264,-0.19851,284.778,285.0,0.31366,1
graphene,2.51356,2.21987,-0.29369,286.859,285.0,0.08201,1
graphene,7.10901,7.03961,-0.0694,284.29,285.0,0.301,1
graphene,1.25183,1.34099,0.08915,283.922,285.0,0.0627,1
graphene,0.57467,0.55723,-0.01744,285.602,285.0,0.02636,1
graphene,10.0475,10.46098,0.41348,280.569,285.0,0.18679,1
graphene,8.7148,8.79535,0.08056,283.416,285.0,0.27343,1
graphene,0.76145,0.76141,-4e-05,284.071,285.0,0.03506,1
graphene,0.83278,0.80901,-0.02377,284.732,285.0,0.03181,1
graphene,7.04465,7.29501,0.25037,282.404,285.0,0.24485,1
graphene,57.12512,57.26133,0.13621,284.899,285.0,0.96642,2
graphene,5.27843,5.34045,0.06201,284.783,285.0,0.34687,1
graphene,10.90939,11.01054,0.10115,285.96,285.0,0.22728,1
graphene,0.74303,0.76514,0.02212,284.398,285.0,0.03444,1
graphene,65.65579,65.34262,-0.31317,284.539,285.0,1.29458,2
graphene,4.68374,5.27085,0.58711,282.03,285.0,0.31908,1
graphene,2.74811,2.68722,-0.06089,285.727,285.0,0.14931,1
graphene,0.77637,0.7529,-0.02348,286.8,285.0,0.02581,1
graphene,4.18324,4.71101,0.52777,283.074,285.0,0.42994,1
graphene,2.29468,2.29417,-0.00051,285.819,285.0,0.1059,1
graphene,1.80924,1.79297,-0.01626,286.047,285.0,0.07606,1
graphene,6.56703,6.74027,0.17323,283.716,285.0,0.34053,1
graphene,45.7996,46.90315,1.10355,283.904,285.0,1.7353,1
graphene,5.50183,5.1808,-0.32103,287.316,285.0,0.38103,1
graphene,9.30066,9.39682,0.09616,286.205,285.0,0.2801,1
graphene,57.43081,55.37942,-2.0514,285.718,285.0,1.04391,1
graphene,0.60121,0.66004,0.05884,283.873,285.0,0.02808,1
graphene,42.06981,42.47463,0.40482,287.435,285.0,2.68308,1
