material,d_true,d_hat,err,oxide_hat,oxide_true,sd_nm,n_modes
graphene,3.53664,3.63304,0.0964,89.691,90.0,0.05021,2
graphene,7.72303,8.96104,1.23801,85.852,90.0,0.33452,2
graphene,0.71838,0.72106,0.00268,90.647,90.0,0.01074,1
graphene,2.93204,2.95666,0.02462,90.223,90.0,0.03226,2
graphene,1.64174,1.64,-0.00175,89.929,90.0,0.02057,1
graphene,21.95832,21.95688,-0.00143,89.869,90.0,0.16566,1
graphene,1.17416,1.18773,0.01357,90.167,90.0,0.0154,1
graphene,108.25226,101.94796,-6.3043,88.543,90.0,5.38011,2
graphene,6.00979,6.49718,0.48739,88.829,90.0,1.51698,1
graphene,14.83939,14.85831,0.01891,90.049,90.0,0.09383,1
graphene,105.20138,104.30304,-0.89834,89.786,90.0,6.36658,2
graphene,10.17165,9.76913,-0.40252,92.005,90.0,0.10785,2
graphene,8.93633,10.0425,1.10618,85.292,90.0,0.28943,1
graphene,1.19537,1.16855,-0.02683,90.375,90.0,0.01242,1
graphene,1.33497,1.31872,-0.01625,89.961,90.0,0.01549,1
graphene,4.37406,4.36592,-0.00813,90.253,90.0,0.05409,2
graphene,2.0931,2.05591,-0.03719,89.825,90.0,0.01885,1
graphene,6.14031,6.4529,0.31259,89.083,90.0,1.40241,1
graphene,82.80586,81.8604,-0.94546,89.569,90.0,0.89212,2
graphene,20.55115,20.64992,0.09877,89.366,90.0,0.18458,1
graphene,2.51356,2.45004,-0.06352,90.623,90.0,0.02253,1
graphene,7.10901,7.14518,0.03617,89.829,90.0,1.39666,1
graphene,1.25183,1.28924,0.03741,89.948,90.0,0.01759,1
graphene,0.57467,0.56381,-0.01085,89.984,90.0,0.01114,1
graphene,10.0475,9.90027,-0.14723,90.379,90.0,0.15123,2
graphene,8.7148,8.7264,0.0116,89.799,90.0,0.88282,1
graphene,0.76145,0.75469,-0.00675,89.973,90.0,0.01275,1
graphene,0.83278,0.82974,-0.00304,89.945,90.0,0.01056,1
graphene,7.04465,7.4923,0.44765,88.621,90.0,0.54729,1
graphene,57.12512,57.33635,0.21123,89.732,90.0,0.65637,2
graphene,5.27843,7.65442,2.37598,84.243,90.0,0.17097,2
graphene,10.90939,10.89947,-0.00992,90.374,90.0,0.10248,2
graphene,0.74303,0.74311,8e-05,89.869,90.0,0.01149,1
graphene,65.65579,65.20841,-0.44739,89.833,90.0,0.51859,2
graphene,4.68374,4.63036,-0.05338,90.255,90.0,0.07095,2
graphene,2.74811,2.74231,-0.0058,90.019,90.0,0.02998,1
graphene,0.77637,0.7692,-0.00717,91.474,90.0,0.01057,1
graphene,4.18324,4.16668,-0.01656,89.921,90.0,0.04084,2
graphene,2.29468,2.30437,0.00969,90.219,90.0,0.02294,1
graphene,1.80924,1.81645,0.00722,90.255,90.0,0.01902,1
graphene,6.56703,6.9497,0.38267,88.761,90.0,0.77391,1
graphene,45.7996,46.63053,0.83093,90.112,90.0,7.73627,1
graphene,5.50183,5.46819,-0.03365,90.187,90.0,0.15391,2
graphene,9.30066,9.42493,0.12428,89.706,90.0,0.34909,1
graphene,57.43081,55.43757,-1.99325,91.028,90.0,0.7534,2
graphene,0.60121,0.6213,0.02009,89.243,90.0,0.00996,1
graphene,42.06981,39.48927,-2.58055,92.96,90.0,0.51986,2
graphene,13.76844,13.70957,-0.05887,90.523,90.0,0.08284,1
graphene,0.63617,0.63764,0.00147,89.681,90.0,0.01279,1
graphene,2.32125,2.33902,0.01778,90.143,90.0,0.02262,1
graphene,63.58012,63.34687,-0.23325,89.877,90.0,0.49901,2
graphene,9.84741,10.04672,0.19932,89.335,90.0,0.34643,1
graphene,0.47201,0.47932,0.0073,89.372,90.0,0.0098,1
graphene,8.09664,8.48977,0.39313,88.413,90.0,0.38663,1
graphene,16.49686,16.33387,-0.16299,90.533,90.0,0.1263,1
graphene,62.20505,62.87151,0.66646,90.208,90.0,0.68848,2
graphene,0.8779,0.89012,0.01222,88.91,90.0,0.01044,1
graphene,60.54413,59.82103,-0.7231,89.932,90.0,0.78883,2
graphene,107.37559,93.45124,-13.92436,85.609,90.0,4.11526,2
graphene,3.14434,3.19291,0.04857,90.031,90.0,0.04123,2
graphene,64.19902,64.89556,0.69653,90.363,90.0,0.66393,2
graphene,19.89399,19.89765,0.00365,89.732,90.0,0.15522,1
graphene,2.848,2.80828,-0.03972,90.015,90.0,0.03641,1
graphene,80.80232,81.35182,0.54949,90.161,90.0,0.8651,2
graphene,3.21206,3.16062,-0.05144,89.888,90.0,0.04082,2
graphene,13.89281,13.83084,-0.06197,90.136,90.0,0.09524,1
graphene,2.4108,2.43469,0.0239,90.087,90.0,0.03064,1
graphene,87.97257,87.67068,-0.3019,89.647,90.0,0.90828,2
graphene,44.90812,48.99122,4.0831,87.993,90.0,1.86571,2
graphene,1.22587,1.21433,-0.01154,90.012,90.0,0.01671,1
graphene,0.69678,0.7116,0.01482,90.046,90.0,0.01047,1
graphene,39.59267,50.8684,11.27573,84.842,90.0,1.35363,2
graphene,99.22414,98.23333,-0.99082,89.666,90.0,2.53856,3
