material,d_true,d_hat,err,oxide_hat,oxide_true,sd_nm,n_modes
graphene,19.77125,20.04089,0.26964,89.315,90.0,0.42959,1
graphene,71.81638,71.31254,-0.50384,89.719,90.0,0.71399,2
graphene,12.55162,12.72923,0.17761,89.274,90.0,0.0916,2
graphene,0.89712,0.90929,0.01217,90.058,90.0,0.01522,1
graphene,70.43012,70.60763,0.17751,89.918,90.0,0.47141,2
graphene,1.35909,1.35886,-0.00023,90.435,90.0,0.01594,1
graphene,7.76409,6.63187,-1.13222,93.808,90.0,0.31384,2
graphene,0.4161,0.42899,0.01289,88.303,90.0,0.00976,1
graphene,54.95671,41.25279,-13.70392,95.834,90.0,0.83103,2
graphene,0.70412,0.69902,-0.00509,89.456,90.0,0.01016,1
graphene,51.52801,51.75492,0.2269,90.074,90.0,0.89742,2
graphene,5.93481,6.40797,0.47316,89.01,90.0,1.00188,1
graphene,1.73864,1.73485,-0.00379,89.992,90.0,0.02066,1
graphene,73.19803,72.71742,-0.48061,89.655,90.0,0.72058,2
graphene,0.45659,0.46017,0.00357,90.575,90.0,0.00855,1
graphene,55.14424,55.07852,-0.06572,90.213,90.0,0.97854,2
graphene,64.15086,64.33037,0.17951,89.99,90.0,0.71431,2
graphene,0.93296,0.94641,0.01345,90.168,90.0,0.01235,1
graphene,56.98945,56.38755,-0.6019,89.953,90.0,0.6122,2
graphene,3.86189,3.85665,-0.00524,90.15,90.0,0.03725,2
graphene,16.43375,16.31971,-0.11404,90.588,90.0,0.12853,1
graphene,0.89576,0.90784,0.01208,90.158,90.0,0.01272,1
graphene,76.87745,76.95647,0.07901,90.262,90.0,0.67876,2
graphene,1.55139,1.52888,-0.02252,89.934,90.0,0.0202,1
graphene,0.79837,0.81349,0.01512,89.337,90.0,0.01231,1
graphene,0.59551,0.60736,0.01186,89.624,90.0,0.01038,1
graphene,0.36459,0.3672,0.0026,90.677,90.0,0.01075,1
graphene,11.9918,11.79816,-0.19364,91.022,90.0,0.1406,2
graphene,10.38424,9.9796,-0.40464,91.767,90.0,0.27433,2
graphene,1.46604,1.44654,-0.0195,89.781,90.0,0.02098,1
graphene,115.15879,113.90477,-1.25402,89.679,90.0,1.71605,3
graphene,1.44174,1.43594,-0.0058,89.94,90.0,0.02059,1
graphene,60.36524,60.659,0.29376,89.954,90.0,0.5029,2
graphene,28.5036,28.90374,0.40014,89.535,90.0,0.97222,2
graphene,119.07808,119.46331,0.38524,90.186,90.0,1.69161,3
graphene,1.6997,1.71043,0.01073,90.085,90.0,0.02169,1
graphene,1.22601,1.24435,0.01834,89.742,90.0,0.01779,1
graphene,47.34894,44.8166,-2.53233,90.798,90.0,2.47309,1
graphene,16.96674,16.80237,-0.16437,90.805,90.0,0.17429,1
graphene,0.93006,0.92452,-0.00555,90.53,90.0,0.01206,1
graphene,1.47021,1.46424,-0.00597,90.712,90.0,0.01526,1
graphene,24.49365,24.41406,-0.07959,90.122,90.0,0.16764,2
graphene,19.15206,19.24434,0.09228,89.504,90.0,0.14258,1
graphene,59.90414,59.92323,0.01908,90.126,90.0,0.52293,2
graphene,0.97455,1.00195,0.0274,90.267,90.0,0.01557,1
graphene,87.92009,86.74479,-1.1753,89.431,90.0,1.15436,2
graphene,3.31576,3.31294,-0.00282,90.214,90.0,0.03395,2
graphene,2.72634,2.78936,0.06302,89.604,90.0,0.02971,1
graphene,1.3654,1.3816,0.0162,90.291,90.0,0.01882,1
graphene,9.33519,10.7637,1.42851,83.853,90.0,0.20558,2
graphene,1.87698,1.85154,-0.02544,89.713,90.0,0.02072,1
graphene,1.7963,1.84148,0.04518,90.235,90.0,0.02545,1
graphene,9.77732,9.84832,0.071,89.843,90.0,0.63415,1
graphene,66.80676,66.3602,-0.44656,90.144,90.0,0.61201,2
graphene,0.5542,0.55726,0.00306,90.101,90.0,0.01194,1
graphene,85.3459,85.36553,0.01963,90.034,90.0,0.68895,2
graphene,0.61345,0.60962,-0.00383,89.948,90.0,0.00926,1
graphene,28.92798,29.79308,0.8651,88.708,90.0,0.95942,2
graphene,117.8878,117.99056,0.10275,89.961,90.0,1.5551,3
graphene,30.18627,30.11419,-0.07209,90.288,90.0,0.22258,2
graphene,21.75705,22.13571,0.37866,89.015,90.0,0.48008,1
graphene,10.19366,10.67621,0.48254,88.013,90.0,0.59329,1
graphene,11.4211,11.37796,-0.04313,90.068,90.0,0.16807,2
graphene,0.39265,0.38934,-0.00332,89.75,90.0,0.00991,1
graphene,84.18286,84.64848,0.46561,90.237,90.0,0.75859,2
graphene,8.58852,8.14571,-0.44282,91.803,90.0,0.88299,1
graphene,12.13615,12.22433,0.08818,89.399,90.0,0.13474,2
graphene,17.18233,17.23951,0.05717,89.665,90.0,0.15034,1
graphene,2.12347,2.14562,0.02215,90.026,90.0,0.02198,1
graphene,85.79106,85.93136,0.1403,89.947,90.0,0.70278,2
graphene,3.62117,3.56355,-0.05762,89.787,90.0,0.03643,2
graphene,1.61543,1.63288,0.01744,89.95,90.0,0.02306,1
graphene,10.63486,10.93241,0.29755,88.435,90.0,0.20485,1
graphene,5.99135,7.15151,1.16016,86.947,90.0,0.22531,2
graphene,94.31474,95.54932,1.23458,90.489,90.0,1.40659,3
graphene,16.45081,16.27233,-0.17848,90.362,90.0,0.12211,1
graphene,55.50649,55.03391,-0.47258,90.001,90.0,0.62892,2
graphene,71.49617,71.89855,0.40238,89.939,90.0,0.52848,2
graphene,1.54195,1.5685,0.02655,90.106,90.0,0.0191,1
graphene,4.67892,4.75027,0.07136,90.606,90.0,0.0741,2
