material,d_true,d_hat,err,oxide_hat,oxide_true,sd_nm,n_modes
graphene,3.53664,3.68043,0.14379,284.267,285.0,0.20436,1
graphene,7.72303,8.20699,0.48396,280.755,285.0,0.17911,1
graphene,0.71838,0.7149,-0.00348,286.065,285.0,0.02999,1
graphene,2.93204,2.85851,-0.07353,285.827,285.0,0.16887,1
graphene,1.64174,1.65756,0.01581,284.876,285.0,0.07751,1
graphene,21.95832,21.728,-0.23032,284.694,285.0,0.36194,2
graphene,1.17416,1.17126,-0.0029,285.359,285.0,0.05042,1
graphene,108.25226,112.29598,4.04373,285.956,285.0,14.80825,2
graphene,6.00979,5.6271,-0.38269,287.71,285.0,0.42422,1
graphene,14.83939,14.88002,0.04063,285.429,285.0,0.20775,1
graphene,105.20138,113.33408,8.1327,285.538,285.0,15.79132,2
graphene,10.17165,10.13927,-0.03239,287.124,285.0,0.23518,1
graphene,8.93633,8.37261,-0.56371,284.921,285.0,0.31758,1
graphene,1.19537,1.1024,-0.09298,285.837,285.0,0.03857,1
graphene,1.33497,1.29022,-0.04475,285.901,285.0,0.05275,1
graphene,4.37406,4.51454,0.14048,285.552,285.0,0.36294,1
graphene,2.0931,1.89802,-0.19507,285.846,285.0,0.07584,1
graphene,6.14031,5.21123,-0.92908,287.09,285.0,0.42803,1
graphene,82.80586,73.08316,-9.7227,285.116,285.0,2.1867,2
graphene,20.55115,20.35264,-0.19851,284.778,285.0,0.31366,1
graphene,2.51356,2.21987,-0.29369,286.859,285.0,0.08201,1
graphene,7.10901,7.03961,-0.0694,284.29,285.0,0.301,1
graphene,1.25183,1.34099,0.08915,283.922,285.0,0.0627,1
graphene,0.57467,0.55723,-0.01744,285.602,285.0,0.02636,1
graphene,10.0475,10.46098,0.41348,280.569,285.0,0.18679,1
graphene,8.7148,8.79535,0.08056,283.416,285.0,0.27343,1
graphene,0.76145,0.76141,-4e-05,284.071,285.0,0.03506,1
graphene,0.83278,0.80901,-0.02377,284.732,285.0,0.03181,1
graphene,7.04465,7.29501,0.25037,282.404,285.0,0.24485,1
graphene,57.12512,57.26133,0.13621,284.899,285.0,0.96642,2
