material,d_true,d_hat,err,oxide_hat,oxide_true,sd_nm,n_modes
graphene,19.77125,22.40165,2.63039,89.142,90.0,0.52366,1
graphene,71.81638,70.32864,-1.48774,90.415,90.0,0.71175,2
graphene,12.55162,14.14897,1.59735,89.227,90.0,0.09499,2
graphene,0.89712,1.00407,0.10695,90.198,90.0,0.01611,1
graphene,70.43012,69.2773,-1.15282,90.639,90.0,0.4728,2
graphene,1.35909,1.50231,0.14322,90.591,90.0,0.01692,1
graphene,7.76409,8.14765,0.38356,92.275,90.0,0.36647,1
graphene,0.4161,0.47229,0.05619,88.569,90.0,0.01,1
graphene,54.95671,48.13152,-6.82519,94.405,90.0,5.5029,1
graphene,0.70412,0.77202,0.06791,89.654,90.0,0.01034,1
graphene,51.52801,47.53212,-3.9959,93.175,90.0,5.03268,1
graphene,5.93481,6.73812,0.80331,89.857,90.0,1.5061,1
graphene,1.73864,1.91862,0.17998,90.16,90.0,0.02211,1
graphene,73.19803,71.63673,-1.56131,90.194,90.0,0.70846,2
graphene,0.45659,0.50824,0.05165,90.657,90.0,0.00876,1
graphene,55.14424,49.92634,-5.2179,93.688,90.0,5.16919,1
graphene,64.15086,63.21907,-0.93179,91.447,90.0,0.76385,2
graphene,0.93296,1.04536,0.1124,90.304,90.0,0.01298,1
graphene,56.98945,52.92741,-4.06203,92.545,90.0,1.21606,1
graphene,3.86189,4.2572,0.39531,90.279,90.0,0.04433,2
graphene,16.43375,18.12465,1.6909,90.667,90.0,0.14604,1
graphene,0.89576,1.00196,0.1062,90.257,90.0,0.01349,1
graphene,76.87745,75.19224,-1.68521,90.066,90.0,0.68325,2
graphene,1.55139,1.69009,0.1387,90.078,90.0,0.02167,1
graphene,0.79837,0.89817,0.0998,89.53,90.0,0.01253,1
graphene,0.59551,0.66983,0.07432,89.801,90.0,0.01073,1
graphene,0.36459,0.40546,0.04087,90.767,90.0,0.01095,1
graphene,11.9918,13.13424,1.14244,90.971,90.0,0.12702,1
graphene,10.38424,11.2256,0.84136,91.393,90.0,0.21177,2
graphene,1.46604,1.59794,0.1319,89.927,90.0,0.02247,1
graphene,115.15879,26.03213,-89.12666,101.841,90.0,0.20194,2
graphene,1.44174,1.5857,0.14396,90.084,90.0,0.02215,1
graphene,60.36524,58.56052,-1.80472,91.92,90.0,0.67695,2
graphene,28.5036,32.78702,4.28342,89.204,90.0,1.29476,1
graphene,119.07808,74.44407,-44.63401,81.013,90.0,0.73418,2
graphene,1.6997,1.88744,0.18773,90.196,90.0,0.0233,1
graphene,1.22601,1.37349,0.14748,89.9,90.0,0.01901,1
graphene,47.34894,47.27717,-0.07177,92.095,90.0,6.56748,1
graphene,16.96674,18.67882,1.71208,90.882,90.0,0.19285,1
graphene,0.93006,1.0216,0.09154,90.631,90.0,0.01267,1
graphene,1.47021,1.61968,0.14947,90.813,90.0,0.01543,1
graphene,24.49365,27.41392,2.92027,89.896,90.0,0.20619,2
graphene,19.15206,21.42989,2.27783,89.48,90.0,0.16403,1
graphene,59.90414,57.97172,-1.93242,91.924,90.0,0.69896,2
graphene,0.97455,1.10679,0.13223,90.386,90.0,0.01645,1
graphene,87.92009,81.74856,-6.17153,87.564,90.0,0.87916,2
graphene,3.31576,3.66157,0.34581,90.378,90.0,0.03873,2
graphene,2.72634,3.08325,0.35691,89.738,90.0,0.03278,2
graphene,1.3654,1.52486,0.15945,90.395,90.0,0.0201,1
graphene,9.33519,10.30887,0.97368,90.462,90.0,0.24135,2
graphene,1.87698,2.04834,0.17137,89.93,90.0,0.02222,1
graphene,1.7963,2.03338,0.23708,90.331,90.0,0.02739,1
graphene,9.77732,11.27187,1.49455,88.387,90.0,0.53587,1
graphene,66.80676,65.1335,-1.67326,91.316,90.0,0.64723,2
graphene,0.5542,0.61527,0.06107,90.234,90.0,0.01235,1
graphene,85.3459,80.87439,-4.47151,88.282,90.0,0.54623,2
graphene,0.61345,0.67412,0.06067,90.056,90.0,0.0096,1
graphene,28.92798,34.17217,5.24419,88.058,90.0,1.47732,2
graphene,117.8878,26.22184,-91.66597,101.56,90.0,0.20852,2
graphene,30.18627,34.47451,4.28824,89.595,90.0,0.34471,2
graphene,21.75705,24.82681,3.06976,88.755,90.0,0.60417,2
graphene,10.19366,11.66293,1.46927,88.7,90.0,0.36994,1
graphene,11.4211,12.61327,1.19217,90.2,90.0,0.13906,2
graphene,0.39265,0.43029,0.03764,89.914,90.0,0.01016,1
graphene,84.18286,29.39932,-54.78354,109.766,90.0,0.13368,2
graphene,8.58852,9.22313,0.63461,91.313,90.0,0.74358,1
graphene,12.13615,13.56174,1.42559,89.454,90.0,0.13001,1
graphene,17.18233,19.18896,2.00663,89.627,90.0,0.16841,1
graphene,2.12347,2.3694,0.24594,90.139,90.0,0.02376,1
graphene,85.79106,81.08874,-4.70232,88.028,90.0,0.54683,2
graphene,3.62117,3.93559,0.31442,90.023,90.0,0.03979,2
graphene,1.61543,1.8001,0.18466,90.069,90.0,0.02491,1
graphene,10.63486,11.99451,1.35965,88.946,90.0,0.13984,2
graphene,5.99135,7.08351,1.09216,88.77,90.0,0.39716,1
graphene,94.31474,83.82215,-10.49258,86.062,90.0,0.60675,2
graphene,16.45081,18.10145,1.65064,90.393,90.0,0.13556,1
graphene,55.50649,50.39706,-5.10943,93.031,90.0,2.02715,1
graphene,71.49617,70.52286,-0.97331,90.497,90.0,0.51051,2
graphene,1.54195,1.73344,0.19149,90.204,90.0,0.02051,1
graphene,4.67892,5.3698,0.69089,90.598,90.0,0.13089,2
